Iteration	LogLikelihood	MoveType
513	-4401.4461	Swapped from Chain 1
513	-4401.4461	Reject
514	-4401.4461	Reject
515	-4401.6779	Swapped from Chain 1
515	-4401.6779	Reject
516	-4401.6779	Reject
517	-4401.4960	Swapped from Chain 1
517	-4401.4960	Reject
518	-4401.4960	Reject
519	-4401.4678	Swapped from Chain 1
519	-4401.4678	Reject
520	-4401.4678	Reject
521	-4402.5727	Swapped from Chain 1
521	-4402.5727	Reject
522	-4402.5727	Reject
523	-4401.4475	Swapped from Chain 1
523	-4401.4475	Reject
524	-4401.4475	Reject
525	-4401.5407	Swapped from Chain 1
525	-4401.5407	Reject
526	-4401.5407	Reject
527	-4401.5591	Swapped from Chain 1
527	-4401.5591	Reject
528	-4401.5591	Reject
529	-4401.4459	Swapped from Chain 1
529	-4401.4459	Reject
530	-4401.4459	Reject
531	-4401.5757	Swapped from Chain 1
531	-4401.5757	Reject
532	-4401.5757	Reject
533	-4403.2691	Swapped from Chain 1
533	-4403.2691	Reject
534	-4403.2691	Reject
535	-4401.4492	Swapped from Chain 1
535	-4401.4492	Reject
536	-4401.4492	Reject
537	-4402.5730	Swapped from Chain 1
537	-4402.5730	Reject
538	-4402.5730	Reject
539	-4401.5418	Swapped from Chain 1
539	-4401.5418	Reject
540	-4401.5418	Reject
541	-4401.4463	Swapped from Chain 1
541	-4401.4463	Reject
542	-4401.4463	Reject
543	-4401.6779	Swapped from Chain 1
543	-4401.6779	Reject
544	-4401.6779	Reject
545	-4401.5442	Swapped from Chain 1
545	-4401.5442	Reject
546	-4401.5442	Reject
547	-4401.4467	Swapped from Chain 1
547	-4401.4467	Reject
548	-4401.4467	Reject
549	-4401.4511	Swapped from Chain 1
549	-4401.4511	Reject
550	-4401.4511	Reject
551	-4402.5773	Swapped from Chain 1
551	-4402.5773	Reject
552	-4402.5773	Reject
553	-4401.4642	Swapped from Chain 1
553	-4401.4642	Reject
554	-4401.4642	Reject
555	-4401.4960	Swapped from Chain 1
555	-4401.4960	Reject
556	-4401.4960	Reject
557	-4401.4492	Swapped from Chain 1
557	-4401.4492	Reject
558	-4401.4492	Reject
559	-4401.4464	Swapped from Chain 1
559	-4401.4464	Reject
560	-4401.4464	Reject
561	-4401.4475	Swapped from Chain 1
561	-4401.4475	Reject
562	-4401.4475	Reject
563	-4401.5407	Swapped from Chain 1
563	-4401.5407	Reject
564	-4401.5407	Reject
565	-4401.5591	Swapped from Chain 1
565	-4401.5591	Reject
566	-4401.5591	Reject
567	-4401.4459	Swapped from Chain 1
567	-4401.4459	Reject
568	-4401.4459	Reject
569	-4401.5757	Swapped from Chain 1
569	-4401.5757	Reject
570	-4401.5757	Reject
571	-4402.5727	Swapped from Chain 1
571	-4402.5727	Reject
572	-4402.5727	Reject
573	-4401.5895	Swapped from Chain 1
573	-4401.5895	Reject
574	-4401.5895	Reject
